Altium Designer Pick and Place Locations
E:\Magazyn_TachBook\My Work\INNE\VHF_Amp\Project Outputs for VHF_AMP\Pick Place\Pick Place for VHF_AMP(std).txt

========================================================================================================================
File Design Information:

Date:       21.04.24
Time:       23:57
Revision:   65cfd9052a031a2b37059474601ac16928a15239
Variant:    std
Units used: mil

Designator       Comment              Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                               
C145             10uF                 TopLayer    CAPC_TDK_CKG45N                1409.449      2106.299      90       "Non-polarised capacitor"                                                                                 
C31              10uF                 TopLayer    CAPC_TDK_CKG45N                1818.898      2614.173      270      "Non-polarised capacitor"                                                                                 
R164             0                    TopLayer    RESC1608X55N                   1862.205      696.850       90       Resistor                                                                                                  
L12              120R@100MHz          TopLayer    INDC1005X55N                   2118.110      409.449       270      ""                                                                                                        
C30              10nF                 TopLayer    CAPC1005X55N                   2062.992      373.622       90       "Non-polarised capacitor"                                                                                 
C29              10uF                 TopLayer    CAPC3216X140N                  2251.968      389.764       180      "Non-polarised capacitor"                                                                                 
R163             0                    TopLayer    RESC2012X60N                   4681.102      401.575       180      Resistor                                                                                                  
R162             1k                   BottomLayer RESC1005X40N                   3128.937      968.504       270      "Resistor - 1%"                                                                                           
R161             1k                   BottomLayer RESC1005X40N                   3187.445      970.054       270      "Resistor - 1%"                                                                                           
R160             0                    BottomLayer RESC1608X55N                   3720.472      807.087       180      Resistor                                                                                                  
R159             0                    BottomLayer RESC1608X55N                   3748.031      1098.425      90       Resistor                                                                                                  
R158             100                  BottomLayer RESC1005X40N                   6755.905      1447.500      0        "Resistor - 1%"                                                                                           
R82              100                  BottomLayer RESC1005X40N                   7192.913      732.283       270      "Resistor - 1%"                                                                                           
R80              100                  BottomLayer RESC1005X40N                   6755.905      1086.614      0        "Resistor - 1%"                                                                                           
R62              100                  BottomLayer RESC1005X40N                   7192.913      1062.992      270      "Resistor - 1%"                                                                                           
R42              64k9                 TopLayer    RESC1608X55N                   5744.094      679.134       270      "Resistor - 0.1%"                                                                                         
R46              10k                  TopLayer    RESC1005X40N                   5803.150      759.842       90       "Resistor - 1%"                                                                                           
R43              100k                 TopLayer    RESC1608X55N                   5744.094      810.433       90       "Resistor - 1%"                                                                                           
R83              0                    TopLayer    RESC1608X55N                   5576.062      3488.721      0        Resistor                                                                                                  
R157             0                    TopLayer    RESC1608X55N                   5422.519      3488.721      0        Resistor                                                                                                  
L7               1uH                  TopLayer    INDC2620X100N                  1059.055      929.134       270      Inductor                                                                                                  
L11              1uH                  TopLayer    INDC2620X100N                  5460.630      547.244       90       Inductor                                                                                                  
J3               MCX                  TopLayer    AMPHENOL_919-383J-51A          59.055        1826.772      180      ""                                                                                                        
